Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,PRECIP (in) 
'437054',1914,5,0.5 
'437054',1914,6,3.09 
'437054',1914,7,4.87 
'437054',1914,8,4.99 
'437054',1914,9,2.41 
'437054',1914,10,0.89 
'437054',1914,11,2.22 
'437054',1914,12,1.24 
'437054',1915,1,1.98 
'437054',1915,2,3.47 
'437054',1915,3,0.3 
'437054',1915,4,1.98 
'437054',1915,5,2.02 
'437054',1915,6,2.8 
'437054',1915,7,6.39 
'437054',1915,8,4.67 
'437054',1915,9,3.22 
'437054',1915,10,1.48 
'437054',1915,11,1.79 
'437054',1915,12,3.03 
'437054',1916,1,1.93 
'437054',1916,2,2.59 
'437054',1916,3,1.52 
'437054',1916,4,1.69 
'437054',1916,5,3.47 
'437054',1916,6,4.36 
'437054',1916,7,2.02 
'437054',1916,8,4.63 
'437054',1916,9,5.55 
'437054',1916,10,1.65 
'437054',1916,11,2.94 
'437054',1916,12,1.8 
'437054',1917,1,2.83 
'437054',1917,2,1.22 
'437054',1917,3,2.13 
'437054',1917,4,2.29 
'437054',1917,5,1.82 
'437054',1917,6,6.12 
'437054',1917,7,3.1 
'437054',1917,8,7.86 
'437054',1917,9,1.62 
'437054',1917,10,5.64 
'437054',1917,11,1.04 
'437054',1917,12,1.77 
'437054',1918,1,2.46 
'437054',1918,2,2.86 
'437054',1918,3,1.78 
'437054',1918,4,1.48 
'437054',1918,5,3.33 
'437054',1918,6,3.06 
'437054',1918,7,1.82 
'437054',1918,8,3.62 
'437054',1918,9,6.31 
'437054',1918,10,7.6 
'437054',1918,11,2 
'437054',1918,12,2.8 
'437054',1919,1,1.93 
'437054',1919,2,1.71 
'437054',1919,3,2.74 
'437054',1919,4,2.54 
'437054',1919,5,3.01 
'437054',1919,6,2.83 
'437054',1919,7,0.96 
'437054',1919,8,3.93 
'437054',1919,9,2.59 
'437054',1919,10,4.88 
'437054',1919,11,3.11 
'437054',1919,12,1.28 
'437054',1920,1,1.59 
'437054',1920,2,2.7 
'437054',1920,3,3.14 
'437054',1920,4,6.15 
'437054',1920,5,1.67 
'437054',1920,6,3.14 
'437054',1920,7,5.39 
'437054',1920,8,1.73 
'437054',1920,9,7.38 
'437054',1920,10,2.32 
'437054',1920,11,3.6 
'437054',1920,12,5.12 
'437054',1921,1,0.73 
'437054',1921,2,1.47 
'437054',1921,3,2.22 
'437054',1921,4,1.93 
'437054',1921,5,0.96 
'437054',1921,6,1.92 
'437054',1921,7,3.37 
'437054',1921,8,3.91 
'437054',1921,9,1.34 
'437054',1921,10,3.41 
'437054',1921,11,4.56 
'437054',1921,12,1.52 
'437054',1922,1,1.59 
'437054',1922,2,2.61 
'437054',1922,3,3.65 
'437054',1922,4,3.31 
'437054',1922,5,2 
'437054',1922,6,8.05 
'437054',1922,7,1.17 
'437054',1922,8,3.07 
'437054',1922,9,2.35 
'437054',1922,10,2.33 
'437054',1922,11,0.95 
'437054',1922,12,2.27 
'437054',1923,1,3.13 
'437054',1923,2,0.95 
'437054',1923,3,1.83 
'437054',1923,4,4.77 
'437054',1923,5,1.7 
'437054',1923,6,2.07 
'437054',1923,7,2.45 
'437054',1923,8,2.38 
'437054',1923,9,2.87 
'437054',1923,10,3.43 
'437054',1923,11,3.52 
'437054',1923,12,2.62 
'437054',1924,1,2.29 
'437054',1924,2,1.91 
'437054',1924,3,0.89 
'437054',1924,4,3.2 
'437054',1924,5,3.45 
'437054',1924,6,2.95 
'437054',1924,7,2.9 
'437054',1924,8,1.33 
'437054',1924,9,7.19 
'437054',1924,10,0.3 
'437054',1924,11,3.45 
'437054',1924,12,1.02 
'437054',1925,1,2.25 
'437054',1925,2,2.89 
'437054',1925,3,2.83 
'437054',1925,4,1.32 
'437054',1925,5,2.73 
'437054',1925,6,4.22 
'437054',1925,7,4.03 
'437054',1925,8,1.17 
'437054',1925,9,5.02 
'437054',1925,10,4.33 
'437054',1925,11,3.43 
'437054',1925,12,1.12 
'437054',1926,1,1.93 
'437054',1926,2,2.08 
'437054',1926,3,1.45 
'437054',1926,4,2.35 
'437054',1926,5,0.72 
'437054',1926,6,3.66 
'437054',1926,7,4.2 
'437054',1926,8,3.85 
'437054',1926,9,3.39 
'437054',1926,10,5.43 
'437054',1926,11,2.35 
'437054',1926,12,1.59 
'437054',1927,1,1.2 
'437054',1927,2,2.06 
'437054',1927,3,1.12 
'437054',1927,4,1.09 
'437054',1927,5,3.91 
'437054',1927,6,1.77 
'437054',1927,7,3.44 
'437054',1927,8,4.06 
'437054',1927,9,1.38 
'437054',1927,10,5.28 
'437054',1927,11,9.34 
'437054',1927,12,3.36 
'437054',1928,1,3.31 
'437054',1928,2,1.97 
'437054',1928,3,1.99 
'437054',1928,4,2.76 
'437054',1928,5,4.34 
'437054',1928,6,2.41 
'437054',1928,7,2.48 
'437054',1928,8,4.03 
'437054',1928,9,3.46 
'437054',1928,10,2.23 
'437054',1928,11,1.92 
'437054',1928,12,1.84 
'437054',1929,1,2.1 
'437054',1929,2,1.83 
'437054',1929,3,3.01 
'437054',1929,4,3.7 
'437054',1929,5,3.1 
'437054',1929,6,3.41 
'437054',1929,7,2.36 
'437054',1929,8,2.42 
