Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,TMAX (F) 
'437054',1938,1,23.7 
'437054',1938,2,27.3 
'437054',1938,3,38.9 
'437054',1938,4,55.5 
'437054',1938,5,63.7 
'437054',1938,6,78.7 
'437054',1938,7,77.3 
'437054',1938,8,78.6 
'437054',1938,9,64.5 
'437054',1938,10,61 
'437054',1938,11,44.3 
'437054',1938,12,29.6 
'437054',1939,1,24.2 
'437054',1939,2,29.2 
'437054',1939,3,31.8 
'437054',1939,4,43.8 
'437054',1939,5,66.6 
'437054',1939,6,75.2 
'437054',1939,7,80.1 
'437054',1939,8,80.7 
'437054',1939,9,68.8 
'437054',1939,10,55.2 
'437054',1939,11,38.2 
'437054',1939,12,26.7 
'437054',1940,1,18.5 
'437054',1940,2,25.8 
'437054',1940,3,33.4 
'437054',1940,4,46.1 
'437054',1940,5,65.7 
'437054',1940,6,72.7 
'437054',1940,7,79.6 
'437054',1940,8,76.8 
'437054',1940,9,65.8 
'437054',1940,10,53.2 
'437054',1940,11,39.4 
'437054',1940,12,27.6 
'437054',1941,1,22.3 
'437054',1941,2,26.4 
'437054',1941,3,32.4 
'437054',1941,4,60.2 
'437054',1941,5,67.7 
'437054',1941,6,77.7 
'437054',1941,7,80.5 
'437054',1941,8,73.5 
'437054',1941,9,71.7 
'437054',1941,10,52.6 
'437054',1941,11,43.5 
'437054',1941,12,29 
'437054',1942,1,24.6 
'437054',1942,2,23.1 
'437054',1942,3,41.3 
'437054',1942,4,54.7 
'437054',1942,5,69.7 
'437054',1942,6,74.3 
'437054',1942,7,79.1 
'437054',1942,8,77.6 
'437054',1942,9,70.7 
'437054',1942,10,60 
'437054',1942,11,40.6 
'437054',1942,12,23.8 
'437054',1943,1,20.4 
'437054',1943,2,27.3 
'437054',1943,3,33.9 
'437054',1943,4,43.2 
'437054',1943,5,63.4 
'437054',1943,6,76.2 
'437054',1943,7,80.4 
'437054',1943,8,73.7 
'437054',1943,9,67.1 
'437054',1943,10,55.7 
'437054',1943,11,39.6 
'437054',1943,12,24.2 
'437054',1944,1,26 
'437054',1944,2,25.6 
'437054',1944,3,34.4 
'437054',1944,4,46.2 
'437054',1944,5,73 
'437054',1944,6,75.6 
'437054',1944,7,82 
'437054',1944,8,82.5 
'437054',1944,9,69.1 
'437054',1944,10,55.8 
'437054',1944,11,39.8 
'437054',1944,12,24.9 
'437054',1945,1,19.2 
'437054',1945,2,28.5 
'437054',1945,3,48.1 
'437054',1945,4,59 
'437054',1945,5,59.7 
'437054',1945,6,73 
'437054',1945,7,79.4 
'437054',1945,8,78.5 
'437054',1945,9,70.3 
'437054',1945,10,53.6 
'437054',1945,11,42.2 
'437054',1945,12,24.4 
'437054',1946,1,24.2 
'437054',1946,2,24.9 
'437054',1946,3,52.4 
'437054',1946,4,49.6 
'437054',1946,5,63.8 
'437054',1946,6,75.9 
'437054',1946,7,80.4 
'437054',1946,8,72.7 
'437054',1946,9,73.5 
'437054',1946,10,62 
'437054',1946,11,43.8 
'437054',1946,12,30.2 
'437054',1947,1,27.6 
'437054',1947,2,24.9 
'437054',1947,3,37.1 
'437054',1947,4,48.6 
'437054',1947,5,62.4 
'437054',1947,6,73.1 
'437054',1947,7,81.6 
'437054',1947,8,81.7 
'437054',1947,9,71.6 
'437054',1947,10,67 
'437054',1947,11,39.3 
'437054',1947,12,23.6 
'437054',1948,1,22 
'437054',1948,2,25.5 
'437054',1948,3,40.6 
'437054',1948,4,54.1 
'437054',1948,5,60.3 
'437054',1948,6,72 
'437054',1948,7,80.6 
'437054',1948,8,78.4 
'437054',1948,9,72.2 
'437054',1948,10,57.3 
'437054',1948,11,48.5 
'437054',1948,12,33.5 
'437054',1949,1,31.2 
'437054',1949,2,32.2 
'437054',1949,3,39.8 
'437054',1949,4,54.2 
'437054',1949,5,68.5 
'437054',1949,6,80.8 
'437054',1949,7,83.7 
'437054',1949,8,81 
'437054',1949,9,65.4 
'437054',1949,10,63.5 
'437054',1949,11,39.4 
'437054',1949,12,33.1 
'437054',1950,1,32.6 
'437054',1950,2,24.9 
'437054',1950,3,34.2 
'437054',1950,4,48 
'437054',1950,5,67.8 
'437054',1950,6,78.1 
'437054',1950,7,80 
'437054',1950,8,77.2 
'437054',1950,9,63.6 
'437054',1950,10,59.6 
'437054',1950,11,47.8 
'437054',1950,12,30.9 
'437054',1951,1,28.1 
'437054',1951,2,33 
'437054',1951,3,38.7 
'437054',1951,4,51.5 
'437054',1951,5,67.3 
'437054',1951,6,73.6 
'437054',1951,7,79.1 
'437054',1951,8,75.5 
'437054',1951,9,69.5 
'437054',1951,10,59.1 
'437054',1951,11,37.1 
'437054',1951,12,29.2 
'437054',1952,1,28.8 
'437054',1952,2,29.9 
'437054',1952,3,37.4 
'437054',1952,4,55.4 
'437054',1952,5,61.8 
'437054',1952,6,77 
'437054',1952,7,85.9 
'437054',1952,8,78.5 
'437054',1952,9,70.6 
'437054',1952,10,54 
'437054',1952,11,42.7 
'437054',1952,12,31.8 
'437054',1953,1,31.8 
'437054',1953,2,30.8 
'437054',1953,3,40.3 
'437054',1953,4,51.7 
'437054',1953,5,68.6 
'437054',1953,6,78.3 
'437054',1953,7,82.6 
'437054',1953,8,76.9 
'437054',1953,9,69.6 
'437054',1953,10,60 
'437054',1953,11,48.2 
'437054',1953,12,36.8 
'437054',1954,1,21.9 
'437054',1954,2,34.3 
'437054',1954,3,36.6 
'437054',1954,4,54 
'437054',1954,5,62.2 
'437054',1954,6,74.1 
'437054',1954,7,76.3 
'437054',1954,8,73.7 
'437054',1954,9,65 
'437054',1954,10,59.3 
'437054',1954,11,43.6 
'437054',1954,12,28.6 
'437054',1955,1,22.6 
'437054',1955,2,29.6 
'437054',1955,3,35.5 
'437054',1955,4,55.7 
'437054',1955,5,70.8 
'437054',1955,6,76.1 
'437054',1955,7,86 
'437054',1955,8,80.1 
'437054',1955,9,68.3 
'437054',1955,10,57 
'437054',1955,11,38.4 
'437054',1955,12,21.7 
'437054',1956,1,25.6 
'437054',1956,2,29.4 
'437054',1956,3,33.5 
'437054',1956,4,46 
'437054',1956,5,60.6 
'437054',1956,6,75.8 
'437054',1956,7,74.7 
'437054',1956,8,74.6 
'437054',1956,9,64.1 
'437054',1956,10,60.3 
'437054',1956,11,45.8 
'437054',1956,12,31.7 
'437054',1957,1,20.4 
'437054',1957,2,33.5 
'437054',1957,3,39.7 
'437054',1957,4,54.5 
'437054',1957,5,66.3 
'437054',1957,6,79.1 
'437054',1957,7,76.8 
'437054',1957,8,74.5 
'437054',1957,9,71 
'437054',1957,10,58.5 
'437054',1957,11,46.8 
'437054',1957,12,35.6 
'437054',1958,1,27.3 
'437054',1958,2,23.1 
'437054',1958,3,40.1 
'437054',1958,4,55.3 
'437054',1958,5,62.4 
'437054',1958,6,69.6 
'437054',1958,7,78.5 
'437054',1958,8,77.8 
'437054',1958,9,67.6 
'437054',1958,10,56 
'437054',1958,11,42.7 
'437054',1958,12,19.2 
'437054',1959,1,23.3 
'437054',1959,2,23.6 
'437054',1959,3,37.1 
'437054',1959,4,54.4 
'437054',1959,5,70.7 
'437054',1959,6,73.4 
'437054',1959,7,84.4 
'437054',1959,8,80.8 
'437054',1959,9,73.1 
'437054',1959,10,54.4 
'437054',1959,11,41.3 
'437054',1959,12,29.9 
'437054',1960,1,26.8 
'437054',1960,2,33.3 
'437054',1960,3,31.2 
'437054',1960,4,52.3 
'437054',1960,5,72 
'437054',1960,6,76.8 
'437054',1960,7,77.8 
'437054',1960,8,78.6 
'437054',1960,9,70.3 
'437054',1960,10,55 
'437054',1960,11,44.9 
'437054',1960,12,27.3 
'437054',1961,1,20.2 
'437054',1961,2,31.4 
'437054',1961,3,40.1 
'437054',1961,4,48.6 
